,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotalCasesPer1Mpop,DeathsPer1Mpop,TotalTests,Tests1Mpop,Continent,Muslim,TotalPopulation,MuslimPopulation,PercentageMuslim,PercentageWorldMuslim
63,Morocco,1617,72,113,2.0,153,1351,1,44,3,8473,230,Africa,True,38314130.0,37930989.0,99.0,2.0
64,Moldova,1560,,30,,75,1455,80,387,7,6271,1555,Europe,False,3437720.0,15000.0,0.4,0.1
65,Croatia,1534,,21,,323,1190,32,374,5,15691,3822,Europe,False,4270480.0,64057.0,1.5,0.1
66,Hungary,1410,100,99,14.0,118,1193,58,146,10,33532,3471,Europe,False,9825704.0,60000.0,0.6,0.1
67,New Zealand,1330,18,4,,471,855,5,276,0.8,61167,12684,Australia/Oceania,False,4903800.0,41000.0,0.9,0.1
68,Iraq,1318,,72,,601,645,,33,2,33889,843,Asia,True,40194216.0,38465864.0,95.7,1.9
69,Estonia,1309,5,25,1.0,98,1186,11,987,19,30349,22878,Europe,False,1244288.0,1508.0,0.1,0.1
70,Slovenia,1205,17,53,3.0,150,1002,35,580,25,34851,16764,Europe,False,2066880.0,73568.0,3.6,0.1
71,Kuwait,1154,,1,,133,1020,27,270,0.2,,,Asia,True,2916467.0,2175684.0,74.6,0.2
72,Azerbaijan,1058,,11,,200,847,27,104,1,61342,6050,Asia,True,10046516.0,9735074.0,96.9,0.5
73,Lithuania,1053,27,23,,97,933,14,387,8,38472,14132,Europe,False,2793284.0,3000.0,0.1,0.1
74,Bahrain,1040,,6,,555,479,3,611,4,60425,35511,Asia,True,1442659.0,1063239.0,73.7,0.1
75,Armenia,1013,46,13,,197,803,30,342,4,7164,2418,Asia,False,3038217.0,3038.0,0.1,0.1
76,Hong Kong,1001,,4,,336,661,14,134,0.5,96709,12900,Asia,False,7213338.0,295746.0,4.1,0.1
77,Bosnia and Herzegovina,975,29,37,,139,799,4,297,11,6911,2106,Europe,True,3849891.0,1955084.0,50.7,0.1
78,Kazakhstan,897,32,10,,86,801,21,48,0.5,69304,3691,Asia,True,18744548.0,13158672.0,70.2,0.5
79,Cameroon,820,,12,,98,710,,31,0.5,,,Africa,False,25640965.0,7692289.0,30.0,0.4
80,Uzbekistan,796,29,4,,42,750,8,24,0.1,70000,2091,Asia,True,32653900.0,26550000.0,96.5,1.7
81,North Macedonia,760,,34,,41,685,15,365,16,7653,3673,Europe,False,2118945.0,705608.0,33.3,0.1
82,Slovakia,728,,2,,23,703,5,133,0.4,25846,4734,Europe,False,5443120.0,10866.0,0.2,0.1
83,,721,,13,,619,89,10,,,,,,False,0.0,0.0,0.0,0.0
84,Diamond Princess,712,,11,,619,82,10,,,,,,False,0.0,0.0,0.0,0.0
85,Tunisia,685,,28,,43,614,85,58,2,10676,903,Africa,True,11446300.0,11190000.0,99.8,0.6
86,Bulgaria,669,8,29,1.0,68,572,35,96,4,18502,2663,Europe,False,7057504.0,861015.0,13.4,0.1
87,Latvia,651,21,5,2.0,16,630,2,345,3,28214,14958,Europe,False,1923559.0,2000.0,0.2,0.1
88,Bangladesh,621,139,34,4.0,39,548,1,4,0.2,9653,59,Asia,True,170000000.0,153700000.0,90.4,9.2
89,Cuba,620,,16,,77,527,11,55,1,13162,1162,North America,False,11116396.0,11116.0,0.1,0.1
90,Lebanon,619,,20,,77,522,34,91,3,14055,2059,Asia,True,6100075.0,3519743.0,57.7,0.2
91,Cyprus,616,,10,,61,545,8,510,8,17119,14179,Asia,False,1100000.0,275000.0,25.3,0.1
92,Afghanistan,607,52,18,,32,557,,16,0.5,,,Asia,True,34940837.0,34836014.0,99.6,1.8
93,Andorra,601,,26,,71,504,17,7778,337,1673,21653,Europe,False,85708.0,2228.0,2.6,0.1
94,Oman,599,53,3,,109,487,3,117,0.6,,,Asia,True,4633752.0,2427000.0,85.9,0.2
95,Costa Rica,577,,3,,49,525,13,113,0.6,6608,1297,North America,False,4987142.0,1000.0,0.1,0.1
96,Ivory Coast,533,,4,,58,471,,20,0.2,,,Africa,False,26260582.0,11265789.0,42.9,0.5
97,Uruguay,501,7,7,,224,270,17,144,2,8114,2336,South America,False,3505985.0,1000.0,0.1,0.1
98,Niger,491,,11,,41,439,,20,0.5,4298,178,Africa,True,21466863.0,21101926.0,98.3,1.0
99,Burkina Faso,484,,27,,155,302,,23,1,,,Africa,True,19742715.0,12141769.0,61.5,0.6
100,Albania,433,,23,,197,213,7,150,8,3644,1266,Europe,True,3057220.0,1797645.0,58.8,0.1
101,Ghana,408,,8,,4,396,2,13,0.3,37405,1204,Africa,False,28102471.0,5058444.0,17.6,0.2
102,Channel Islands,407,,9,,48,350,,2341,52,3320,19095,Europe,False,0.0,0.0,0.0,0.0
103,Honduras,393,1,25,1.0,7,361,10,40,3,1600,162,North America,False,9182766.0,30000.0,0.3,0.1
104,Taiwan,388,3,6,,109,273,,16,0.3,46547,1954,Asia,False,0.0,0.0,0.0,0.0
105,R�union,388,,,,40,348,3,433,,,,Africa,False,0.0,0.0,0.0,0.0
106,Jordan,381,,7,,177,197,5,37,0.7,20500,2009,Asia,True,10458413.0,10165577.0,97.2,0.4
107,Kyrgyzstan,377,38,5,,44,328,5,58,0.8,9618,1474,Asia,True,5849296.0,4679436.0,80.0,0.3
108,Malta,370,,3,,44,323,4,838,7,16016,36273,Europe,False,449043.0,11675.0,2.6,0.1
109,San Marino,356,,35,,53,268,14,10492,1032,846,24933,Europe,False,33344.0,1000.0,0.1,0.1
110,Mauritius,319,,9,,28,282,3,251,7,7077,5565,Africa,False,1364283.0,236020.0,17.3,0.1
111,Nigeria,318,,10,,70,238,2,2,0.05,5000,24,Africa,True,200000000.0,103000000.0,51.6,5.3
112,Bolivia,300,25,24,4.0,2,274,3,26,2,2185,187,South America,False,11306341.0,2000.0,0.1,0.1
113,Senegal,278,,2,,152,124,1,17,0.1,,,Africa,True,15726037.0,15112721.0,96.1,0.8
114,Palestine,268,,2,,57,209,,53,0.4,16992,3331,Asia,True,4780978.0,4298000.0,97.5,0.3
115,Montenegro,267,4,2,,5,260,7,425,3,2869,4568,Europe,False,614249.0,122849.0,19.1,0.1
116,Vietnam,258,,,,144,114,8,3,,121821,1252,Asia,False,96160163.0,96160.0,0.1,0.1
117,Georgia,252,10,3,,63,186,6,63,0.8,3271,820,Asia,False,4926087.0,527091.0,10.7,0.1
118,Guinea,250,,,,17,233,,19,,,,Africa,True,11855411.0,10563171.0,89.1,0.5
119,Isle of Man,226,,2,,112,112,11,2658,24,1934,22744,Europe,False,89407.0,1000.0,0.2,0.1
120,DRC,223,,20,,16,187,,2,0.2,,,Africa,False,0.0,0.0,0.0,0.0
121,Sri Lanka,203,5,7,,55,141,1,9,0.3,4525,211,Asia,False,21700000.0,2105000.0,9.7,0.1
122,Mayotte,196,,3,,59,134,3,718,11,1350,4948,Africa,True,256518.0,253439.0,97.0,0.1
123,Kenya,191,,7,,24,160,2,4,0.1,6192,115,Africa,False,48397527.0,5500000.0,11.2,0.2
124,Djibouti,187,,2,,36,149,,189,2,4017,4066,Africa,True,884017.0,857496.0,97.0,0.1
125,Faeroe Islands,184,,,,157,27,,3766,,5509,112744,Europe,False,0.0,0.0,0.0,0.0
126,Venezuela,175,,9,,93,73,6,6,0.3,181335,6377,South America,False,31304016.0,125216.0,0.4,0.1
127,Martinique,155,,6,,50,99,19,413,16,,,North America,False,385551.0,1000.0,0.2,0.1
128,Guatemala,153,16,3,,19,131,3,9,0.2,1134,63,North America,False,16581273.0,1200.0,0.1,0.1
129,Guadeloupe,143,,8,,67,68,13,357,20,,,North America,False,402119.0,2000.0,0.4,0.1
130,Brunei,136,,1,,104,31,2,311,2,9637,22028,Asia,True,450565.0,355045.0,78.8,0.1
131,Paraguay,134,1,6,,22,106,1,19,0.8,2262,317,South America,False,7052983.0,1000.0,0.1,0.1
132,Gibraltar,129,,,,84,45,1,3829,,1558,46244,Europe,False,29461.0,1150.0,4.0,0.1
133,El Salvador,125,7,6,,21,98,3,19,0.9,,,North America,False,6187271.0,2000.0,0.1,0.1
134,Cambodia,122,2,,,77,45,1,7,,5768,345,Asia,False,16449519.0,3125401.0,1.9,0.1
135,Rwanda,120,,,,18,102,,9,,806,62,Africa,False,12001136.0,576054.0,4.8,0.1
136,Trinidad and Tobago,112,,8,,12,92,,80,6,1102,787,North America,False,1356633.0,78000.0,5.8,0.1
137,Madagascar,102,,,,11,91,1,4,,,,Africa,False,25683610.0,2568361.0,10.0,0.1
138,Monaco,92,,1,,5,86,4,2344,25,,,Europe,False,30727.0,1000.0,0.8,0.1
139,Aruba,92,,,,29,63,,862,,1118,10471,North America,False,116576.0,1000.0,0.4,0.1
140,Mali,87,,7,,22,58,,4,0.3,,,Africa,True,18429893.0,17508398.0,95.0,0.8
141,French Guiana,86,,,,51,35,1,288,,,,South America,False,281612.0,2400.0,0.9,0.1
142,Liechtenstein,79,,1,,55,23,,2072,26,900,23605,Europe,False,38000.0,2050.0,5.4,0.1
143,Togo,76,,3,,25,48,,9,0.4,2069,250,Africa,False,7352000.0,1593011.0,20.0,0.1
144,Jamaica,69,,4,,13,52,,23,1,907,306,North America,False,2812090.0,5624.0,0.2,0.1
145,Ethiopia,69,,3,,10,56,,0.6,0.03,3577,31,Africa,False,105000000.0,35600000.0,33.9,1.8
146,Barbados,68,,4,,11,53,4,237,14,747,2599,North America,False,293131.0,4396.0,1.5,0.1
147,Congo,60,,5,,5,50,,11,0.9,,,Africa,False,5399895.0,107997.0,2.0,0.1
148,Cayman Islands,53,,1,,6,46,3,806,15,536,8156,North America,False,59613.0,1000.0,0.2,0.1
149,Uganda,53,,,,4,49,,1,,4856,106,Africa,False,38823100.0,5435234.0,14.0,0.3
150,French Polynesia,51,,,,,51,,182,,744,2649,Australia/Oceania,False,290373.0,1000.0,0.1,0.1
151,Sint Maarten,50,,9,,5,36,2,1166,210,134,3125,North America,False,0.0,0.0,0.0,0.0
152,Bermuda,50,2,4,,28,18,2,803,64,416,6680,North America,False,71176.0,1000.0,1.0,0.1
153,Gabon,49,3,1,,1,47,,22,0.4,,,Africa,False,2119036.0,211903.0,10.0,0.1
154,Liberia,48,,5,,3,40,,9,1,,,Africa,False,4809768.0,961953.0,20.0,0.1
155,Bahamas,46,,8,,5,33,1,117,20,,,North America,False,332634.0,1000.0,0.1,0.1
156,Guyana,45,,6,,8,31,3,57,8,193,245,South America,False,740685.0,55000.0,7.3,0.1
157,Macao,45,,,,10,35,1,69,,,,Asia,False,0.0,0.0,0.0,0.0
158,Zambia,40,,2,,28,10,1,2,0.1,1239,67,Africa,False,16887720.0,168877.0,1.0,0.1
159,Myanmar,38,,3,,2,33,,0.7,0.06,1406,26,Asia,False,0.0,0.0,0.0,0.0
160,Guinea-Bissau,38,,,,,38,,19,,1500,762,Africa,False,1833247.0,826794.0,45.1,0.1
161,Benin,35,,1,,5,29,,3,0.08,,,Africa,False,11340504.0,3141319.0,27.7,0.14
162,Eritrea,34,,,,,34,,10,,,,Africa,True,6000000.0,3100000.0,51.6,0.1
163,Haiti,33,,2,,,31,,3,0.2,365,32,North America,False,10788440.0,5000.0,0.1,0.1
164,Tanzania,32,,3,,5,24,,0.5,0.05,,,Africa,False,54199163.0,19426814.0,35.2,0.8
165,Saint Martin,32,,2,,11,19,5,828,52,,,North America,False,0.0,0.0,0.0,0.0
166,Syria,25,,2,,5,18,,1,0.1,,,Asia,True,18000000.0,16700000.0,93.0,1.0
167,Libya,25,,1,,8,16,,4,0.1,507,74,Africa,True,6754507.0,6551871.0,97.0,0.4
168,Antigua and Barbuda,21,,2,,,19,1,214,20,40,408,North America,False,95882.0,1000.0,0.3,0.1
169,Somalia,21,,1,,2,18,2,1,0.06,,,Africa,True,11000000.0,10978000.0,99.8,0.6
170,Maldives,20,1,,,13,7,,37,,,,Asia,True,374775.0,374775.0,100.0,0.1
171,Mozambique,20,,,,2,18,,0.6,,551,18,Africa,False,27233789.0,3830063.0,17.9,0.3
172,Angola,19,,2,,4,13,,0.6,0.06,,,Africa,False,30355880.0,90000.0,0.3,0.1
173,Sudan,19,,2,,2,15,,0.4,0.05,,,Africa,True,40825770.0,39585777.0,97.0,1.9
174,Equatorial Guinea,18,,,,3,15,,13,,854,609,Africa,False,797457.0,79745.0,10.0,0.1
175,Laos,18,,,,,18,,2,,1094,150,Asia,False,7234171.0,1000.0,0.1,0.1
176,New Caledonia,18,,,,1,17,,63,,2608,9135,Australia/Oceania,False,278500.0,7000.0,2.8,0.1
177,Dominica,16,,,,5,11,,222,,309,4293,North America,False,74027.0,1000.0,0.2,0.1
178,Fiji,16,,,,,16,,18,,,,Australia/Oceania,False,926276.0,58355.0,6.3,0.1
179,Mongolia,16,,,,4,12,,5,,,,Asia,False,3103428.0,150000.0,5.0,0.1
180,Namibia,16,,,,3,13,,6,,362,142,Africa,False,2413643.0,9654.0,0.4,0.1
181,Saint Lucia,15,,,,4,11,,82,,,,North America,False,178844.0,1000.0,0.1,0.1
182,Zimbabwe,14,,3,,,11,,0.9,0.2,547,37,Africa,False,14000000.0,100000.0,0.7,0.1
183,Cura�ao,14,,1,,7,6,,85,6,,,North America,False,0.0,0.0,0.0,0.0
184,Grenada,14,,,,,14,2,124,,92,818,North America,False,112207.0,1000.0,0.3,0.1
185,Eswatini,14,2,,,7,7,,12,,,,Africa,False,0.0,0.0,0.0,0.0
186,Belize,13,,2,,,11,1,33,5,364,915,North America,False,385854.0,1000.0,0.2,0.1
187,Botswana,13,,1,,,12,,6,0.4,2527,1075,Africa,False,2249104.0,8996.0,0.4,0.1
188,Malawi,12,,2,,,10,1,0.6,0.1,231,12,Africa,False,19842560.0,3968512.0,20.0,0.1
189,Nepal,12,3,,,1,11,,0.4,,4426,152,Asia,False,29218867.0,1292909.0,4.2,0.1
190,Saint Kitts and Nevis,12,,,,,12,,226,,205,3853,North America,False,46204.0,1000.0,0.3,0.1
191,St. Vincent Grenadines,12,,,,1,11,,108,,56,505,North America,False,0.0,0.0,0.0,0.0
192,Chad,11,,,,2,9,,0.7,,,,Africa,True,15833116.0,9183207.0,58.0,0.4
193,Greenland,11,,,,11,0,,194,,770,13564,North America,False,57691.0,1000.0,0.1,0.1
194,Seychelles,11,,,,,11,,112,,,,Africa,False,94205.0,1036.0,1.1,0.1
195,Suriname,10,,1,,4,5,,17,2,,,South America,False,600000.0,83400.0,13.9,0.1
196,Sierra Leone,10,,,,,10,,1,,,,Africa,True,7719729.0,6067706.0,78.6,0.3
197,MS Zaandam,9,,2,,,7,,,,,,,False,0.0,0.0,0.0,0.0
198,Gambia,9,,1,,2,6,,4,0.4,281,116,Africa,True,2092731.0,2002743.0,95.7,0.1
199,Nicaragua,9,,1,,4,4,,1,0.2,,,North America,False,6284757.0,1000.0,0.1,0.1
200,Turks and Caicos,9,,1,,,8,,232,26,62,1601,North America,False,0.0,0.0,0.0,0.0
201,Montserrat,9,,,,,9,1,1803,,36,7212,North America,False,5315.0,1000.0,0.1,0.1
202,Cabo Verde,8,,1,,1,6,,14,2,,,Africa,False,0.0,0.0,0.0,0.0
203,CAR,8,,,,,8,,2,,,,Africa,False,0.0,0.0,0.0,0.0
204,Vatican City,8,,,,2,6,,9988,,,,Europe,False,800.0,0.0,0.0,0.0
205,Mauritania,7,,1,,2,4,,2,0.2,380,82,Africa,True,3840429.0,3840429.0,100.0,0.2
206,St. Barth,6,,,,4,2,,607,,,,North America,False,0.0,0.0,0.0,0.0
207,Western Sahara,6,,,,,6,,10,,,,Africa,True,603253.0,599633.0,99.4,0.1
208,Bhutan,5,,,,2,3,,6,,1166,1511,Asia,False,766397.0,2000.0,0.2,0.1
209,Burundi,5,,,,,5,,0.4,,,,Africa,False,11844520.0,1184452.0,10.0,0.1
210,Falkland Islands,5,,,,1,4,,1437,,137,39368,South America,False,3198.0,1000.0,0.1,0.1
211,Sao Tome and Principe,4,,,,,4,,18,,19,87,Africa,False,0.0,0.0,0.0,0.0
212,South Sudan,4,,,,,4,,0.4,,,,Africa,False,12323419.0,2464683.0,20.0,0.1
213,Anguilla,3,,,,,3,,200,,,,North America,False,17422.0,1000.0,0.6,0.1
214,British Virgin Islands,3,,,,2,1,,99,,,,North America,False,35802.0,1000.0,1.2,0.1
215,Caribbean Netherlands,3,1,,,,3,,114,,10,381,North America,False,0.0,0.0,0.0,0.0
216,Papua New Guinea,2,,,,,2,,0.2,,72,8,Australia/Oceania,False,8558800.0,2000.0,0.1,0.1
217,Timor-Leste,2,,,,1,1,,2,,,,Asia,False,0.0,0.0,0.0,0.0
218,Saint Pierre Miquelon,1,,,,,1,,173,,,,North America,False,0.0,0.0,0.0,0.0
219,Yemen,1,,,,,1,,0.03,,,,Asia,True,28036829.0,27784498.0,99.1,1.5
220,Total:,569587,638,21836,44.0,39281,508470,12462,,,,,North America,False,0.0,0.0,0.0,0.0
221,Total:,857878,4979,73968,343.0,211384,572526,29969,,,,,Europe,False,0.0,0.0,0.0,0.0
222,Total:,288753,1569,10709,112.0,143304,134740,6604,,,,,Asia,False,0.0,0.0,0.0,0.0
223,Total:,48103,35,1952,5.0,5246,40905,1243,,,,,South America,False,0.0,0.0,0.0,0.0
224,Total:,7730,28,63,3.0,3810,3857,86,,,,,Australia/Oceania,False,0.0,0.0,0.0,0.0
225,Total:,14297,77,747,2.0,2465,11085,174,,,,,Africa,False,0.0,0.0,0.0,0.0
226,Total:,721,,13,,619,89,10,,,,,,False,0.0,0.0,0.0,0.0
227,Total:,1787069,7326,109288,509.0,406109,1271672,50548,229.3,14,,,All,False,0.0,0.0,0.0,0.0
